city,prop_type,prop_desc,prop_size(lower) SQ Ft,prop_size(upper) SQ Ft,prop_price(£)
london,Office,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",1136,2732,495000
london,Office,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",4288,13543,1400000
london,Office,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",1400,13543,640000
london,Office,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",3373,13543,640000
london,Office,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ",1650,13543,1100000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
london,Office,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",2906,8030,640000
london,Office,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",2477,13543,1245000
london,Office,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1785,13543,1000000
london,Office,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",1136,2732,495000
london,Office,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",4288,13543,1400000
london,Office,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",1400,13543,640000
london,Office,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",3373,13543,640000
london,Office,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ",1650,13543,1100000
london,Office,"Block B, The Pump House, 30 Seagull Lane, London, E16 1YP",11957,13543,640000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
london,Office,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",2906,8030,640000
london,Office,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",2477,13543,1245000
london,Office,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1785,13543,1000000
london,Office,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",1136,2732,495000
london,Office,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",4288,13543,1400000
london,Office,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",1400,13543,640000
london,Office,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",3373,13543,640000
london,Office,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ",1650,13543,1100000
london,Office,"Block B, The Pump House, 30 Seagull Lane, London, E16 1YP",11957,13543,640000
london,Office,"Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD",1397,13543,725000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
london,Office,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",2906,8030,640000
london,Office,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",2477,13543,1245000
london,Office,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1785,13543,1000000
london,Office,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",1136,2732,495000
london,Office,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",4288,13543,1400000
london,Office,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",1400,13543,640000
london,Office,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",3373,13543,640000
london,Office,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ",1650,13543,1100000
london,Office,"Block B, The Pump House, 30 Seagull Lane, London, E16 1YP",11957,13543,640000
london,Office,"Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD",1397,13543,725000
london,Office,"Office Building With Residential Potential, No 3 Printers Yard, 90a The Broadway, Wimbledon, SW19 1RD",1691,13543,875000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
london,Office,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",2906,8030,640000
london,Office,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",2477,13543,1245000
london,Office,"Self-Contained Office Building, 5 Jaggard Way, Wandsworth Common, SW12 8SG",1785,13543,1000000
london,Office,"Two Commercial Premises With B1 Consent, 175 Wandsworth High Street, Wandsworth, SW18 4JB",1136,2732,495000
london,Office,"Office Unit - To Let/For Sale, 17 Hardwicks Square, Wandsworth, SW18 4AG",4288,13543,1400000
london,Office,"Office Suite In Excellent Condition, Suite 37, Beaufort Court , Admirals Way, London, E14 9XL",1400,13543,640000
london,Office,"Residential Development Opportunity, 91B Mora Road, Cricklewood, NW2 6TB",3373,13543,640000
london,Office,"Investment Opportunity For Sale, Old Timber Court 1 & 2, Acton Lane, Chiswick, W4 5JQ",1650,13543,1100000
london,Office,"Block B, The Pump House, 30 Seagull Lane, London, E16 1YP",11957,13543,640000
london,Office,"Self-Contained Office Building, 229 The Broadway, Wimbledon, SW19 1SD",1397,13543,725000
london,Office,"Office Building With Residential Potential, No 3 Printers Yard, 90a The Broadway, Wimbledon, SW19 1RD",1691,13543,875000
london,Office,"Office And Workshop With Potential For Other Uses, 189A Livingstone Road, Thornton Heath, CR7 8JZ",1375,13543,475000
london,Office,"Office / Residential Opportunity, 40 Great Smith Street, Westminster, SW1P 3BU",1695,4645,3400000
london,Office,"B1 Unit or May Suit A1, A2, D1, D2 (STP), Palace View, 1 Lambeth High Street, Southwark, SE1 7JN",5690,13543,2250000
london,Office,"Office Suites Finished To A High Specification, Trident House, 46-48 Webber Street, Lambeth, SE1 8QW",2158,4316,640000
london,Office,"Self Contained Office Over Ground & Lower Ground, 177 Southwark Bridge Road, Southwark, SE1 0ED",1113,13543,575000
london,Office,"27 Kelso Place , Kensington, London, W8 5QG",5530,13543,5500000
london,Office,"Ground & Lower Ground Office Suites, Larkhall Quarter, 156 Edgeley Road, Clapham, SW4 6HB",1632,13543,625000
london,Office,"Fortess Works, Fortess Grove, Kentish Town, London, NW5 2HD",2906,8030,640000
london,Office,"Self-Contained Ground Floor Office , Unit 3, 10 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Self-Contained Ground Floor Office Suite, 3 Gwynne Road, Battersea, SW11 3GL",523,13543,295000
london,Office,"Ground Floor Office Suite, Genoa House, Battersea Reach, Battersea, SW18 1FY",1728,13543,925000
london,Office,"Studio/Office Premises for Sale, 26 Point Pleasant, Wandsworth, SW18 1GG",2477,13543,1245000
